Ciudad/Pueblo;Latitud;Longitud
ALMEIDA;49.711;733.808
AQUITANIA;55.197;728.847
BOYACÁ;54.542;733.628
CHIQUINQUIRÁ;56.181;738.195
CÓMBITA;55.789;733.208
DUITAMA;58.241;730.343
GARAGOA;50.822;733.650
GUATEQUE;50.006;734.728
MIRAFLORES;51.967;731.447
MONIQUIRÁ;58.761;735.711
NOBSA;57.700;729.428
PAIPA;57.793;731.180
PUERTO BOYACÁ;59.789;745.878
RAMIRIQUÍ;54.017;733.353
SABOYA;57.075;738.053
SANTA ROSA DE VITERBO;58.742;731.922
SOATÁ;63.331;726.775
SOGAMOSO;57.140;729.338
TUNJA;55.353;733.678
VILLA DE LEYVA;56.342;735.269
